OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Income_Total_households,Household_inc_less_35k,Pct_Household_inc_less_35k,Household_inc_35k_75k,Pct_Household_inc_35k_74999k,Household_inc_75k_200k,Pct_Household_inc_75k_200k,Household_inc_200k_more,Pct_Household_inc_200k_more,Median_household_inc,Average_Per_capita_Inc,Aggregate_HH_Income,Average_Household_Income,GlobalID,last_edited_date
889,110603,13297110603,1106.03,ARC 20,1575,448,28.4,638,40.5,455,28.9,34,2.2,52930,22161,98032600,62243,{DDE11705-12D0-4087-9E12-12487C1085BC},
890,110602,13297110602,1106.02,ARC 20,1724,303,17.6,581,33.7,677,39.3,163,9.5,70776,30561,161640896,93759,{EB876474-9A57-48E0-8821-407D1838670B},
891,110504,13297110504,1105.04,ARC 20,1722,663,38.5,550,31.9,479,27.8,30,1.7,46308,21580,105534304,61286,{17CC80FB-FEEC-4CFC-B13E-F3AF43B8D57A},
892,110508,13297110508,1105.08,ARC 20,1715,435,25.4,522,30.4,740,43.1,18,1,66169,25948,129770000,75668,{0187DF18-C5FF-43A6-B709-78D770593D3C},
893,110503,13297110503,1105.03,ARC 20,1150,329,28.6,436,37.9,360,31.3,25,2.2,46812,24735,84094896,73126,{6BA351C2-61F7-4CDF-B93E-CB134C6CA9ED},
894,110505,13297110505,1105.05,ARC 20,1342,290,21.6,577,43,424,31.6,51,3.8,64944,24824,104265104,77694,{A58DA887-A378-481C-BD18-27DD307B857F},
895,110800,13297110800,1108,ARC 20,2380,801,33.7,855,35.9,687,28.9,37,1.6,48086,21456,145028000,60936,{E4C9772B-5022-43AA-92EA-63AD13918767},
896,110700,13297110700,1107,ARC 20,2399,733,30.6,1038,43.3,550,22.9,78,3.3,48832,21008,153303296,63903,{208182AA-8F90-49CF-B275-C154040B4CC0},
897,110400,13297110400,1104,ARC 20,2320,1265,54.5,738,31.8,304,13.1,13,0.6,31468,15242,97307296,41943,{F4958688-0E10-4607-9708-74F9AF208A3B},
898,110300,13297110300,1103,ARC 20,2464,1269,51.5,830,33.7,351,14.2,14,0.6,33598,15910,103442896,41982,{AB523EC9-CF2C-4215-8216-EC4A402D7D38},
899,110200,13297110200,1102,ARC 20,1599,516,32.3,553,34.6,502,31.4,28,1.8,51453,25521,105262600,65830,{499B97BB-E892-49B6-BA0C-84DA0560D818},
900,110100,13297110100,1101,ARC 20,3258,783,24,1012,31.1,1354,41.6,109,3.3,63824,28300,249722304,76649,{5BBDE8DF-4ED5-4E85-8284-028C7CF42394},
901,091005,13057091005,910.05,ARC 10,2709,766,28.3,1095,40.4,782,28.9,66,2.4,50613,24305,185464496,68462,{33BC5EE2-1B51-4E42-9AF5-D0F7DBEFEA39},
902,091006,13057091006,910.06,ARC 10,1784,279,15.6,430,24.1,945,53,130,7.3,86367,38872,187234208,104952,{8E89688C-E58F-45B0-B58D-F5AEE41D3606},
903,090400,13057090400,904,ARC 10,3561,1675,47,1225,34.4,614,17.2,47,1.3,37198,18783,175065792,49162,{FE2698D0-6AAC-402F-B731-1B8EE2E5769C},
904,090601,13057090601,906.01,ARC 10,2231,854,38.3,724,32.5,524,23.5,129,5.8,47371,21222,145340192,65146,{2DB7D3FC-D6FF-4E2A-8148-4C3B908CF24B},
905,090901,13057090901,909.01,ARC 10,2660,441,16.6,679,25.5,1417,53.3,123,4.6,82100,32400,241824704,90912,{056B06BD-2C75-4304-850E-C28EBA556911},
906,090602,13057090602,906.02,ARC 10,2793,690,24.7,965,34.6,1003,35.9,135,4.8,57261,29263,251603504,90084,{467A2283-447C-4F09-9423-D1BB7EBF7316},
907,090200,13057090200,902,ARC 10,2720,663,24.4,836,30.7,1140,41.9,81,3,65407,27383,211414000,77726,{68604FE6-C77F-4365-8F3D-3DBCA9C93852},
908,090702,13057090702,907.02,ARC 10,2828,946,33.5,1046,37,836,29.6,0,0,53307,22227,166939600,59031,{089B2837-7BCF-4B28-94DF-A1619315322E},
909,090502,13057090502,905.02,ARC 10,4341,748,17.2,970,22.3,2035,46.9,588,13.5,93625,35981,492800000,113522,{3CA23688-A4ED-41FC-9394-8CBF142A7D2D},
910,090100,13057090100,901,ARC 10,3195,1014,31.7,996,31.2,1056,33.1,129,4,57306,25483,223076704,69821,{29896E86-69CF-40CE-BE03-71AA4CCB252F},
