FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,TotPop_e,TotPop_m,Hisp_e,Hisp_m,pHisp_e,pHisp_m,Not_Hisp_e,Not_Hisp_m,pNot_Hisp_e,pNot_Hisp_m,NHWhite_e,NHWhite_m,pNHWhite_e,pNHWhite_m,NHBlack_e,NHBlack_m,pNHBlack_e,pNHBlack_m,NH_AmInd_e,NH_AmInd_m,pNH_AmInd_e,pNH_AmInd_m,NH_Asian_e,NH_Asian_m,pNH_Asian_e,pNH_Asian_m,NH_PacIsl_e,NH_PacIsl_m,pNH_PacIsl_e,pNH_PacIsl_m,NH_OthRace_e,NH_OthRace_m,pNH_OthRace_e,pNH_OthRace_m,NH_TwoRace_e,NH_TwoRace_m,pNH_TwoRace_e,pNH_TwoRace_m,NH_AsianPI_e,NH_AsianPI_m,pNH_AsianPI_e,pNH_AsianPI_m,NH_Other_e,NH_Other_m,pNH_Other_e,pNH_Other_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
534,13063040202,Yes,Atlanta Regional Commission,1379,Tract,"Census Tract 402.02, Clayton County",2647,300,250,173,9.4,6.4,2397,311,90.6,5.7,163,84,6.2,3.1,2052,308,77.5,7.6,0,13,0,0.5,145,135,5.5,5.1,0,13,0,0.5,12,20,0.5,0.8,25,32,0.9,1.2,145,136,5.5,5.1,37,40,1.4,1.5,,,,,0.192691643870089,0.000981569980746727
535,13063040518,Yes,Atlanta Regional Commission,1405,Tract,"Census Tract 405.18, Clayton County",5287,648,589,443,11.1,8.3,4698,574,88.9,15.4,481,138,9.1,2.4,4016,564,76,5.2,0,18,0,0.3,0,18,0,0.3,0,18,0,0.3,0,18,0,0.3,201,202,3.8,3.8,0,25,0,0.5,201,204,3.8,3.8,,,,,0.09132647437291,0.000343221196224543
536,13063040515,Yes,Atlanta Regional Commission,1403,Tract,"Census Tract 405.15, Clayton County",8029,853,1449,613,18,7.4,6580,849,82,6,273,106,3.4,1.3,5953,877,74.1,7.6,0,18,0,0.2,111,120,1.4,1.5,0,18,0,0.2,0,18,0,0.2,243,305,3,3.8,111,121,1.4,1.5,243,306,3,3.8,,,,,0.106992318526079,0.000583490028280442
537,13063040513,Yes,Atlanta Regional Commission,1401,Tract,"Census Tract 405.13, Clayton County",4559,507,139,153,3,3.3,4420,496,97,1.5,581,226,12.7,4.8,3334,451,73.1,5.6,12,26,0.3,0.6,300,213,6.6,4.6,0,13,0,0.3,6,11,0.1,0.2,187,158,4.1,3.4,300,213,6.6,4.6,205,161,4.5,3.5,,,,,0.131461971146811,0.000679775751260029
538,13239960300,No,River Valley,2728,Tract,"Census Tract 9603, Quitman County",2140,154,12,19,0.6,0.9,2128,155,99.4,1.1,897,164,41.9,7,1086,154,50.7,6.2,0,13,0,0.6,106,121,5,5.6,4,7,0.2,0.3,0,13,0,0.6,35,33,1.6,1.5,110,121,5.1,5.7,35,38,1.6,1.8,,,,,0.971089048641184,0.0396327722310254
539,13051004209,No,Coastal Regional Commission,1270,Tract,"Census Tract 42.09, Chatham County",3382,401,365,170,10.8,4.9,3017,342,89.2,14.6,1454,264,43,5.9,1530,339,45.2,8.5,0,13,0,0.4,18,29,0.5,0.9,0,13,0,0.4,15,22,0.4,0.6,0,13,0,0.4,18,32,0.5,0.9,15,29,0.4,0.8,,,,,0.118938615113235,0.000439995401040465
540,13051004210,No,Coastal Regional Commission,1271,Tract,"Census Tract 42.10, Chatham County",5143,424,239,149,4.6,2.9,4904,377,95.4,10.7,1150,293,22.4,5.4,3219,479,62.6,7.8,0,18,0,0.3,221,171,4.3,3.3,0,18,0,0.3,0,18,0,0.3,314,221,6.1,4.3,221,172,4.3,3.3,314,222,6.1,4.3,,,,,0.090770830527226,0.000282573980903926
541,13051010807,No,Coastal Regional Commission,1290,Tract,"Census Tract 108.07, Chatham County",6181,656,650,198,10.5,3,5531,665,89.5,5.1,2872,398,46.5,4.1,2187,648,35.4,9.8,62,69,1,1.1,155,64,2.5,1,0,18,0,0.3,0,18,0,0.3,255,187,4.1,3,155,66,2.5,1,317,200,5.1,3.2,,,,,0.329103972742659,0.0035255236128402
542,13051010806,No,Coastal Regional Commission,1289,Tract,"Census Tract 108.06, Chatham County",6132,533,501,214,8.2,3.4,5631,543,91.8,3.8,3298,506,53.8,6.8,1877,238,30.6,2.8,74,72,1.2,1.2,197,117,3.2,1.9,0,18,0,0.3,0,18,0,0.3,185,166,3,2.7,197,118,3.2,1.9,259,182,4.2,2.9,,,,,0.307684946729183,0.00163784554635402
543,13051011103,No,Coastal Regional Commission,1298,Tract,"Census Tract 111.03, Chatham County",3550,250,16,22,0.5,0.6,3534,249,99.5,0.2,3419,256,96.3,2.4,59,44,1.7,1.2,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,56,66,1.6,1.9,0,18,0,0.5,56,69,1.6,1.9,,,,,0.436274941300741,0.00633026681989587
544,13051011109,No,Coastal Regional Commission,1303,Tract,"Census Tract 111.09, Chatham County",7073,363,198,165,2.8,2.3,6875,405,97.2,2.8,6334,463,89.6,4.7,86,102,1.2,1.4,28,43,0.4,0.6,418,254,5.9,3.6,0,18,0,0.3,0,18,0,0.3,9,17,0.1,0.2,418,255,5.9,3.6,37,50,0.5,0.7,,,,,0.278088701211445,0.00294159785120091
545,13051003900,No,Coastal Regional Commission,1264,Tract,"Census Tract 39, Chatham County",3937,461,32,39,0.8,1,3905,463,99.2,1.8,1420,372,36.1,8.5,2472,678,62.8,15.6,9,16,0.2,0.4,4,9,0.1,0.2,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,4,16,0.1,0.4,9,24,0.2,0.6,,,,,0.0948804213677377,0.000345417111778397
546,13051003800,No,Coastal Regional Commission,1263,Tract,"Census Tract 38, Chatham County",2837,332,21,29,0.7,1,2816,327,99.3,16.4,232,105,8.2,3.6,2532,332,89.2,5.3,0,13,0,0.5,6,9,0.2,0.3,0,13,0,0.5,0,13,0,0.5,46,54,1.6,1.9,6,16,0.2,0.6,46,57,1.6,2,,,,,0.0670633728443697,0.000183798533860728
547,13051003700,No,Coastal Regional Commission,1262,Tract,"Census Tract 37, Chatham County",2067,277,134,139,6.5,6.7,1933,231,93.5,16.8,400,112,19.4,4.8,1442,208,69.8,3.7,33,38,1.6,1.8,22,29,1.1,1.4,0,13,0,0.6,0,13,0,0.6,36,46,1.7,2.2,22,32,1.1,1.5,69,61,3.3,2.9,,,,,0.053625822577988,0.000167559478587331
548,13051003602,No,Coastal Regional Commission,1261,Tract,"Census Tract 36.02, Chatham County",4598,584,222,164,4.8,3.5,4376,557,95.2,0.8,1069,232,23.2,4.1,3256,581,70.8,8.9,8,14,0.2,0.3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,43,42,0.9,0.9,0,18,0,0.4,51,46,1.1,1,,,,,0.0768876287105522,0.000272614229378733
549,13051003601,No,Coastal Regional Commission,1260,Tract,"Census Tract 36.01, Chatham County",3376,347,127,96,3.8,2.8,3249,358,96.2,3.8,403,148,11.9,4.2,2656,394,78.7,8.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,190,172,5.6,5.1,0,18,0,0.5,190,173,5.6,5.1,,,,,0.0995403223913456,0.000331654839157067
550,13051001100,No,Coastal Regional Commission,1243,Tract,"Census Tract 11, Chatham County",1884,208,41,32,2.2,1.7,1843,212,97.8,3.2,667,120,35.4,5,1038,191,55.1,8.1,5,9,0.3,0.5,110,71,5.8,3.7,0,13,0,0.7,0,13,0,0.7,23,17,1.2,0.9,110,72,5.8,3.8,28,23,1.5,1.2,,,,,0.0614309143388679,0.000150746496721756
551,13051010700,No,Coastal Regional Commission,1285,Tract,"Census Tract 107, Chatham County",24556,1711,1873,798,7.6,3.2,22683,1934,92.4,4.5,11942,1779,48.6,6.4,8816,2034,35.9,7.9,120,144,0.5,0.6,720,376,2.9,1.5,0,24,0,0.1,0,24,0,0.1,1085,452,4.4,1.8,720,377,2.9,1.5,1205,475,4.9,1.9,,,,,0.618202252642863,0.0142296833426863
552,13051010801,No,Coastal Regional Commission,1286,Tract,"Census Tract 108.01, Chatham County",2997,173,182,105,6.1,3.5,2815,181,93.9,2.7,2347,219,78.3,5.7,365,128,12.2,4.2,0,13,0,0.4,68,111,2.3,3.7,0,13,0,0.4,10,14,0.3,0.5,25,28,0.8,0.9,68,112,2.3,3.7,35,34,1.2,1.1,,,,,0.338426978134543,0.00383196952659726
553,13051010803,No,Coastal Regional Commission,1288,Tract,"Census Tract 108.03, Chatham County",11089,1020,526,248,4.7,2.2,10563,980,95.3,1.2,7058,815,63.6,4.4,3110,806,28,6.8,0,20,0,0.2,210,121,1.9,1.1,68,81,0.6,0.7,0,20,0,0.2,117,123,1.1,1.1,278,146,2.5,1.3,117,126,1.1,1.1,,,,,0.37604251858724,0.00473039562715957
554,13051011104,No,Coastal Regional Commission,1299,Tract,"Census Tract 111.04, Chatham County",5095,443,672,487,13.2,9.5,4423,459,86.8,4.9,4187,469,82.2,5.8,116,98,2.3,1.9,0,18,0,0.4,45,40,0.9,0.8,0,18,0,0.4,0,18,0,0.4,75,67,1.5,1.3,45,44,0.9,0.9,75,72,1.5,1.4,,,,,0.176232203782533,0.000656878637372372
555,13051010802,No,Coastal Regional Commission,1287,Tract,"Census Tract 108.02, Chatham County",8658,816,458,211,5.3,2.4,8200,826,94.7,3.4,5276,725,60.9,6.1,2535,648,29.3,7,71,93,0.8,1.1,217,186,2.5,2.1,0,18,0,0.2,59,93,0.7,1.1,42,50,0.5,0.6,217,187,2.5,2.1,172,141,2,1.6,,,,,0.505003701287929,0.00925867483956385
556,13051011004,No,Coastal Regional Commission,1295,Tract,"Census Tract 110.04, Chatham County",3410,162,32,33,0.9,1,3378,165,99.1,1.1,3208,166,94.1,1.9,50,44,1.5,1.3,0,13,0,0.4,50,60,1.5,1.8,22,36,0.6,1.1,0,13,0,0.4,48,40,1.4,1.2,72,70,2.1,2,48,44,1.4,1.3,,,,,0.342443709891944,0.00227056108533125
557,13151070403,Yes,Atlanta Regional Commission,2410,Tract,"Census Tract 704.03, Henry County",10857,850,810,373,7.5,3.4,10047,915,92.5,4.3,7849,894,72.3,6,2111,539,19.4,4.7,19,32,0.2,0.3,0,20,0,0.2,0,20,0,0.2,0,20,0,0.2,68,55,0.6,0.5,0,28,0,0.3,87,67,0.8,0.6,,,,,0.361096350465715,0.00553760784575785
558,13151070307,Yes,Atlanta Regional Commission,2405,Tract,"Census Tract 703.07, Henry County",4189,517,227,138,5.4,3.2,3962,509,94.6,3.4,1982,361,47.3,6.3,1701,349,40.6,6.7,11,20,0.3,0.5,51,46,1.2,1.1,0,13,0,0.3,0,13,0,0.3,217,129,5.2,3,51,48,1.2,1.1,228,131,5.4,3.1,,,,,0.143925989622586,0.000851966445630081
559,13151070113,Yes,Atlanta Regional Commission,2396,Tract,"Census Tract 701.13, Henry County",3995,430,828,345,20.7,8.3,3167,428,79.3,6.5,2302,459,57.6,9.7,693,297,17.3,7.2,0,13,0,0.3,143,160,3.6,4,0,13,0,0.3,0,13,0,0.3,29,37,0.7,0.9,143,161,3.6,4,29,41,0.7,1,,,,,0.172340469508826,0.000658160533682986
560,13151070501,Yes,Atlanta Regional Commission,2412,Tract,"Census Tract 705.01, Henry County",7924,886,1504,715,19,8.8,6420,882,81,6.5,3025,856,38.2,9.9,3007,900,37.9,10.5,0,18,0,0.2,44,73,0.6,0.9,0,18,0,0.2,15,26,0.2,0.3,329,301,4.2,3.8,44,75,0.6,0.9,344,303,4.3,3.8,,,,,0.316923159324865,0.00521798944823169
561,13151070502,Yes,Atlanta Regional Commission,2413,Tract,"Census Tract 705.02, Henry County",14510,927,478,392,3.3,2.7,14032,935,96.7,1.8,7628,1153,52.6,7.2,5595,1242,38.6,8.2,6,21,0,0.1,494,508,3.4,3.5,0,20,0,0.1,0,20,0,0.1,309,305,2.1,2.1,494,508,3.4,3.5,315,306,2.2,2.1,,,,,0.475892991377103,0.00803484941796039
562,13151070311,Yes,Atlanta Regional Commission,2408,Tract,"Census Tract 703.11, Henry County",12573,1094,1366,507,10.9,3.9,11207,974,89.1,11,2465,514,19.6,3.7,8160,1044,64.9,6.1,0,20,0,0.2,102,98,0.8,0.8,0,20,0,0.2,11,18,0.1,0.1,469,225,3.7,1.8,102,100,0.8,0.8,480,227,3.8,1.8,,,,,0.152118874290538,0.00103755398494775
563,13151070404,Yes,Atlanta Regional Commission,2411,Tract,"Census Tract 704.04, Henry County",7641,806,528,286,6.9,3.7,7113,771,93.1,2.3,4060,515,53.1,3.7,2519,531,33,6,0,18,0,0.2,256,257,3.4,3.3,0,18,0,0.2,83,108,1.1,1.4,195,231,2.6,3,256,258,3.4,3.4,278,256,3.6,3.3,,,,,0.45426807728413,0.0063003896612597
564,13151070204,Yes,Atlanta Regional Commission,2400,Tract,"Census Tract 702.04, Henry County",4918,399,68,66,1.4,1.3,4850,397,98.6,1.1,3270,278,66.5,1.7,1441,376,29.3,7.3,0,13,0,0.3,44,63,0.9,1.3,0,13,0,0.3,9,14,0.2,0.3,86,86,1.7,1.7,44,64,0.9,1.3,95,88,1.9,1.8,,,,,0.217368188813565,0.0024258333674672
565,13151070310,Yes,Atlanta Regional Commission,2407,Tract,"Census Tract 703.10, Henry County",4500,389,251,181,5.6,4,4249,391,94.4,3,2951,359,65.6,5.6,1175,265,26.1,5.4,17,30,0.4,0.7,61,46,1.4,1,0,13,0,0.3,8,14,0.2,0.3,37,43,0.8,1,61,48,1.4,1.1,62,54,1.4,1.2,,,,,0.177438602912828,0.0014129150101538
566,13151070205,Yes,Atlanta Regional Commission,2401,Tract,"Census Tract 702.05, Henry County",10288,815,975,406,9.5,3.9,9313,737,90.5,10.1,5557,603,54,4,3170,361,30.8,2.5,0,20,0,0.2,374,244,3.6,2.4,0,20,0,0.2,0,20,0,0.2,212,144,2.1,1.4,374,245,3.6,2.4,212,147,2.1,1.4,,,,,0.274106653869718,0.00253624477420059
567,13151070309,Yes,Atlanta Regional Commission,2406,Tract,"Census Tract 703.09, Henry County",7572,427,331,277,4.4,3.6,7241,462,95.6,2.9,2571,412,34,5.1,3828,366,50.6,3.9,0,18,0,0.2,842,311,11.1,4.1,0,18,0,0.2,0,18,0,0.2,0,18,0,0.2,842,312,11.1,4.1,0,31,0,0.4,,,,,0.161706320393407,0.00114903784851013
568,13151070114,Yes,Atlanta Regional Commission,2397,Tract,"Census Tract 701.14, Henry County",5381,678,47,76,0.9,1.4,5334,694,99.1,3.2,1445,404,26.9,6.7,3342,718,62.1,10.8,0,18,0,0.3,385,196,7.2,3.5,0,18,0,0.3,0,18,0,0.3,162,123,3,2.3,385,197,7.2,3.5,162,126,3,2.3,,,,,0.15356879805534,0.00118920067945406
569,13151070111,Yes,Atlanta Regional Commission,2395,Tract,"Census Tract 701.11, Henry County",9621,893,1358,540,14.1,5.5,8263,758,85.9,11.2,1312,243,13.6,2.2,5904,659,61.4,3.8,33,68,0.3,0.7,722,288,7.5,2.9,0,18,0,0.2,0,18,0,0.2,292,212,3,2.2,722,289,7.5,2.9,325,223,3.4,2.3,,,,,0.130287580754713,0.000886460586011686
570,13151070107,Yes,Atlanta Regional Commission,2391,Tract,"Census Tract 701.07, Henry County",6846,738,92,116,1.3,1.7,6754,736,98.7,1.6,1966,245,28.7,1.8,4723,640,69,5.7,0,18,0,0.3,25,40,0.4,0.6,0,18,0,0.3,0,18,0,0.3,40,53,0.6,0.8,25,44,0.4,0.6,40,59,0.6,0.9,,,,,0.204237473113545,0.00213216738772757
571,13151070109,Yes,Atlanta Regional Commission,2393,Tract,"Census Tract 701.09, Henry County",3526,371,162,142,4.6,4,3364,355,95.4,0.8,1695,277,48.1,6,1570,282,44.5,6.5,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,8,12,0.2,0.3,91,92,2.6,2.6,0,18,0,0.5,99,94,2.8,2.6,,,,,0.138354368590913,0.000837510695100004
572,13151070110,Yes,Atlanta Regional Commission,2394,Tract,"Census Tract 701.10, Henry County",7631,615,353,235,4.6,3.1,7278,619,95.4,2.6,3941,694,51.6,8.1,3130,774,41,9.6,25,37,0.3,0.5,28,41,0.4,0.5,0,18,0,0.2,0,18,0,0.2,154,141,2,1.8,28,45,0.4,0.6,179,147,2.3,1.9,,,,,0.240466561750892,0.00261167822492928
573,13151070108,Yes,Atlanta Regional Commission,2392,Tract,"Census Tract 701.08, Henry County",5177,442,294,203,5.7,3.9,4883,455,94.3,3.5,961,289,18.6,5.4,3837,357,74.1,2.7,0,18,0,0.3,68,65,1.3,1.3,0,18,0,0.3,0,18,0,0.3,17,19,0.3,0.4,68,67,1.3,1.3,17,32,0.3,0.6,,,,,0.196109952676797,0.00123781583374134
574,13151070306,Yes,Atlanta Regional Commission,2404,Tract,"Census Tract 703.06, Henry County",10350,789,610,317,5.9,3,9740,735,94.1,10.1,3950,429,38.2,3,4702,729,45.4,6.1,0,20,0,0.2,404,164,3.9,1.6,0,20,0,0.2,0,20,0,0.2,684,362,6.6,3.5,404,165,3.9,1.6,684,363,6.6,3.5,,,,,0.277390531178748,0.00349324185249287
575,13151070104,Yes,Atlanta Regional Commission,2389,Tract,"Census Tract 701.04, Henry County",13339,1185,427,243,3.2,1.8,12912,1214,96.8,3,3325,418,24.9,2.2,7572,1078,56.8,6.3,0,20,0,0.1,1513,356,11.3,2.5,0,20,0,0.1,200,320,1.5,2.4,302,284,2.3,2.1,1513,357,11.3,2.5,502,428,3.8,3.2,,,,,0.25544304343656,0.00236250039725968
576,13151070202,Yes,Atlanta Regional Commission,2398,Tract,"Census Tract 702.02, Henry County",11410,604,839,207,7.4,1.8,10571,615,92.6,2.2,7759,565,68,3.4,2095,360,18.4,3,0,20,0,0.2,378,236,3.3,2.1,0,20,0,0.2,41,64,0.4,0.6,298,180,2.6,1.6,378,237,3.3,2.1,339,192,3,1.7,,,,,0.381026919695089,0.00537329408537225
577,13151070305,Yes,Atlanta Regional Commission,2403,Tract,"Census Tract 703.05, Henry County",9030,752,322,226,3.6,2.5,8708,750,96.4,2.1,3753,639,41.6,6.2,3846,539,42.6,4.8,0,18,0,0.2,838,272,9.3,2.9,0,18,0,0.2,56,76,0.6,0.8,215,152,2.4,1.7,838,273,9.3,2.9,271,171,3,1.9,,,,,0.265309143176314,0.00396176522405546
