FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,TotPop_e,TotPop_m,Hisp_e,Hisp_m,pHisp_e,pHisp_m,Not_Hisp_e,Not_Hisp_m,pNot_Hisp_e,pNot_Hisp_m,NHWhite_e,NHWhite_m,pNHWhite_e,pNHWhite_m,NHBlack_e,NHBlack_m,pNHBlack_e,pNHBlack_m,NH_AmInd_e,NH_AmInd_m,pNH_AmInd_e,pNH_AmInd_m,NH_Asian_e,NH_Asian_m,pNH_Asian_e,pNH_Asian_m,NH_PacIsl_e,NH_PacIsl_m,pNH_PacIsl_e,pNH_PacIsl_m,NH_OthRace_e,NH_OthRace_m,pNH_OthRace_e,pNH_OthRace_m,NH_TwoRace_e,NH_TwoRace_m,pNH_TwoRace_e,pNH_TwoRace_m,NH_AsianPI_e,NH_AsianPI_m,pNH_AsianPI_e,pNH_AsianPI_m,NH_Other_e,NH_Other_m,pNH_Other_e,pNH_Other_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
1644,13089020500,Yes,Atlanta Regional Commission,1641,Tract,"Census Tract 205, DeKalb County",3305,380,180,93,5.4,2.7,3125,437,94.6,7.5,1596,289,48.3,6.8,1286,391,38.9,11,0,13,0,0.4,95,69,2.9,2.1,0,13,0,0.4,11,18,0.3,0.5,137,78,4.1,2.3,95,70,2.9,2.1,148,81,4.5,2.4,,,,,0.0644356392506055,0.000164083316288521
1645,13257970301,No,Georgia Mountains,2822,Tract,"Census Tract 9703.01, Stephens County",3399,504,394,204,11.6,5.8,3005,513,88.4,7.5,1724,367,50.7,7.7,1154,353,34,9.1,0,13,0,0.4,53,101,1.6,3,0,13,0,0.4,0,13,0,0.4,74,88,2.2,2.6,53,102,1.6,3,74,90,2.2,2.6,,,,,0.195501919749911,0.00136553964241726
1646,13257970302,No,Georgia Mountains,2823,Tract,"Census Tract 9703.02, Stephens County",2912,379,88,124,3,4.2,2824,396,97,5.1,2099,508,72.1,14.7,725,444,24.9,14.9,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,0,18,0,0.6,0,23,0,0.8,,,,,0.185489688882447,0.00164166176551648
1647,13257970100,No,Georgia Mountains,2820,Tract,"Census Tract 9701, Stephens County",6632,598,124,106,1.9,1.6,6508,591,98.1,1.1,6074,583,91.6,3,286,135,4.3,2,16,31,0.2,0.5,54,37,0.8,0.6,2,6,0,0.1,0,18,0,0.3,76,103,1.1,1.5,56,37,0.8,0.6,92,109,1.4,1.6,,,,,0.558422997041113,0.012392106496063
1648,13277960500,No,Southern Georgia,2869,Tract,"Census Tract 9605, Tift County",4269,410,173,120,4.1,2.8,4096,395,95.9,0.8,3782,364,88.6,0.6,272,195,6.4,4.5,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,42,42,1,1,0,18,0,0.4,42,46,1,1.1,,,,,0.691914062589367,0.0142239149677365
1649,13089021410,Yes,Atlanta Regional Commission,1669,Tract,"Census Tract 214.10, DeKalb County",5382,455,2871,507,53.3,8.3,2511,359,46.7,5.4,1627,258,30.2,4.1,571,202,10.6,3.6,45,49,0.8,0.9,92,52,1.7,1,0,18,0,0.3,0,18,0,0.3,176,120,3.3,2.2,92,55,1.7,1,221,131,4.1,2.4,,,,,0.0828899006714222,0.000266723193107187
1650,13089021216,Yes,Atlanta Regional Commission,1658,Tract,"Census Tract 212.16, DeKalb County",7834,753,266,124,3.4,1.5,7568,763,96.6,2.9,4541,517,58,3.5,1311,486,16.7,6,0,18,0,0.2,1597,538,20.4,6.6,0,18,0,0.2,0,18,0,0.2,119,144,1.5,1.8,1597,538,20.4,6.6,119,146,1.5,1.9,,,,,0.0809466647906978,0.000353855263747992
1651,13089021911,Yes,Atlanta Regional Commission,1701,Tract,"Census Tract 219.11, DeKalb County",2324,574,143,118,6.2,4.8,2181,567,93.8,7.6,37,63,1.6,2.7,2144,572,92.3,9.3,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,18,0,0.8,0,23,0,1,,,,,0.0480196422196694,9.0847820840566e-05
1652,13089020802,Yes,Atlanta Regional Commission,1645,Tract,"Census Tract 208.02, DeKalb County",4764,489,208,177,4.4,3.7,4556,490,95.6,3.1,1717,264,36,4.1,2624,513,55.1,9.2,0,13,0,0.3,115,143,2.4,3,0,13,0,0.3,0,13,0,0.3,100,70,2.1,1.5,115,144,2.4,3,100,72,2.1,1.5,,,,,0.133028476708898,0.000272122511532425
1653,13089021416,Yes,Atlanta Regional Commission,1675,Tract,"Census Tract 214.16, DeKalb County",2391,328,1104,313,46.2,11.5,1287,215,53.8,5.1,950,192,39.7,5.9,164,97,6.9,3.9,0,13,0,0.5,162,110,6.8,4.5,0,13,0,0.5,0,13,0,0.5,11,18,0.5,0.8,162,111,6.8,4.5,11,26,0.5,1.1,,,,,0.0378109832180131,7.5756611564608e-05
1654,13089021413,Yes,Atlanta Regional Commission,1672,Tract,"Census Tract 214.13, DeKalb County",4450,413,3248,482,73,8.5,1202,301,27,6.3,711,199,16,4.2,372,163,8.4,3.6,17,27,0.4,0.6,39,49,0.9,1.1,0,13,0,0.3,0,13,0,0.3,63,63,1.4,1.4,39,51,0.9,1.1,80,70,1.8,1.6,,,,,0.0520127727806761,9.4117947129094e-05
